model,fp,Bulk_modulus_GPa,CH4_msa_log10,CO2_msa_log10,FFV,H2_msa_log10,N2_msa_log10,O2_msa_log10,TC,Tg,Tm,density
DropoutMLP,AtomPair,0.175 ± 0.044,0.302 ± 0.041,0.269 ± 0.033,0.167 ± 0.014,0.24 ± 0.045,0.299 ± 0.025,0.297 ± 0.03,0.194 ± 0.065,0.351 ± 0.015,0.292 ± 0.017,0.115 ± 0.046
DropoutMLP,MACCS,0.104 ± 0.022,0.325 ± 0.026,0.304 ± 0.018,0.244 ± 0.011,0.129 ± 0.048,0.317 ± 0.021,0.299 ± 0.022,0.17 ± 0.032,0.303 ± 0.025,0.337 ± 0.016,0.053 ± 0.05
DropoutMLP,Morgan,0.114 ± 0.062,0.361 ± 0.025,0.299 ± 0.027,0.174 ± 0.052,0.211 ± 0.044,0.317 ± 0.033,0.374 ± 0.016,0.209 ± 0.07,0.325 ± 0.021,0.361 ± 0.021,0.155 ± 0.023
DropoutMLP,RDKit,0.212 ± 0.045,0.299 ± 0.034,0.229 ± 0.017,0.2 ± 0.043,0.225 ± 0.045,0.339 ± 0.026,0.322 ± 0.019,0.149 ± 0.075,0.287 ± 0.009,0.374 ± 0.022,0.031 ± 0.017
DropoutMLP,TopologicalTorsion,0.075 ± 0.026,0.339 ± 0.022,0.294 ± 0.028,0.264 ± 0.017,0.315 ± 0.028,0.312 ± 0.054,0.277 ± 0.018,0.252 ± 0.075,0.318 ± 0.011,0.343 ± 0.011,0.132 ± 0.035
QuantileRandomForest,AtomPair,0.084 ± 0.028,0.071 ± 0.005,0.123 ± 0.008,0.13 ± 0.004,0.092 ± 0.016,0.101 ± 0.018,0.107 ± 0.012,0.013 ± 0.002,0.149 ± 0.003,0.074 ± 0.004,0.128 ± 0.012
QuantileRandomForest,MACCS,0.078 ± 0.028,0.022 ± 0.009,0.054 ± 0.019,0.026 ± 0.004,0.035 ± 0.01,0.081 ± 0.004,0.062 ± 0.007,0.017 ± 0.002,0.028 ± 0.004,0.016 ± 0.005,0.057 ± 0.007
QuantileRandomForest,Morgan,0.122 ± 0.023,0.05 ± 0.008,0.034 ± 0.012,0.021 ± 0.003,0.083 ± 0.013,0.046 ± 0.01,0.036 ± 0.007,0.055 ± 0.007,0.055 ± 0.001,0.019 ± 0.003,0.018 ± 0.004
QuantileRandomForest,RDKit,0.076 ± 0.03,0.056 ± 0.012,0.041 ± 0.011,0.066 ± 0.004,0.052 ± 0.017,0.057 ± 0.014,0.072 ± 0.003,0.02 ± 0.004,0.08 ± 0.002,0.05 ± 0.004,0.036 ± 0.006
QuantileRandomForest,TopologicalTorsion,0.165 ± 0.033,0.034 ± 0.006,0.067 ± 0.008,0.055 ± 0.002,0.022 ± 0.006,0.04 ± 0.009,0.053 ± 0.015,0.019 ± 0.003,0.054 ± 0.007,0.016 ± 0.007,0.042 ± 0.007
torch-GREA,graph,0.3 ± 0.054,0.291 ± 0.022,0.186 ± 0.048,0.122 ± 0.091,0.288 ± 0.059,0.315 ± 0.028,0.203 ± 0.034,0.283 ± 0.177,0.48 ± 0.015,0.497 ± 0.006,0.126 ± 0.058
