model,fp,Bulk_modulus_GPa,CH4_msa_log10,CO2_msa_log10,FFV,H2_msa_log10,N2_msa_log10,O2_msa_log10,TC,Tg,Tm,density
DropoutMLP,AtomPair,0.611 ± 0.044,0.456 ± 0.041,0.417 ± 0.016,0.008 ± 0.0,0.331 ± 0.016,0.385 ± 0.02,0.43 ± 0.009,0.038 ± 0.002,29.471 ± 0.359,44.871 ± 0.6,0.072 ± 0.005
DropoutMLP,MACCS,0.39 ± 0.009,0.469 ± 0.01,0.417 ± 0.017,0.009 ± 0.0,0.321 ± 0.045,0.458 ± 0.02,0.473 ± 0.023,0.042 ± 0.004,30.552 ± 0.898,46.575 ± 1.514,0.079 ± 0.006
DropoutMLP,Morgan,0.518 ± 0.058,0.414 ± 0.026,0.379 ± 0.025,0.008 ± 0.0,0.308 ± 0.021,0.384 ± 0.039,0.419 ± 0.016,0.04 ± 0.006,27.843 ± 0.896,42.154 ± 1.45,0.074 ± 0.002
DropoutMLP,RDKit,0.637 ± 0.024,0.49 ± 0.029,0.449 ± 0.033,0.009 ± 0.0,0.436 ± 0.047,0.437 ± 0.017,0.419 ± 0.019,0.044 ± 0.005,27.95 ± 0.527,43.794 ± 1.157,0.077 ± 0.005
DropoutMLP,TopologicalTorsion,0.501 ± 0.026,0.445 ± 0.042,0.428 ± 0.019,0.008 ± 0.0,0.325 ± 0.029,0.435 ± 0.036,0.444 ± 0.028,0.041 ± 0.008,27.981 ± 0.78,43.72 ± 1.439,0.087 ± 0.01
QuantileRandomForest,AtomPair,0.388 ± 0.022,0.462 ± 0.009,0.411 ± 0.007,0.009 ± 0.0,0.352 ± 0.009,0.402 ± 0.017,0.426 ± 0.01,0.034 ± 0.0,26.965 ± 0.177,42.599 ± 0.501,0.073 ± 0.001
QuantileRandomForest,MACCS,0.404 ± 0.018,0.544 ± 0.01,0.447 ± 0.016,0.009 ± 0.0,0.318 ± 0.012,0.493 ± 0.015,0.494 ± 0.011,0.037 ± 0.0,27.813 ± 0.421,44.324 ± 0.555,0.062 ± 0.001
QuantileRandomForest,Morgan,0.381 ± 0.017,0.461 ± 0.018,0.401 ± 0.019,0.008 ± 0.0,0.299 ± 0.006,0.409 ± 0.006,0.398 ± 0.012,0.036 ± 0.001,26.07 ± 0.28,42.434 ± 0.529,0.065 ± 0.002
QuantileRandomForest,RDKit,0.379 ± 0.023,0.455 ± 0.018,0.462 ± 0.006,0.008 ± 0.0,0.336 ± 0.006,0.427 ± 0.013,0.435 ± 0.01,0.035 ± 0.001,26.262 ± 0.071,41.386 ± 0.372,0.072 ± 0.002
QuantileRandomForest,TopologicalTorsion,0.397 ± 0.014,0.448 ± 0.014,0.446 ± 0.024,0.008 ± 0.0,0.363 ± 0.009,0.398 ± 0.009,0.465 ± 0.016,0.035 ± 0.002,26.7 ± 0.256,43.984 ± 0.473,0.085 ± 0.001
torch-GNN,graph,0.599 ± 0.031,0.393 ± 0.016,0.418 ± 0.019,0.015 ± 0.0,0.429 ± 0.127,0.379 ± 0.014,0.387 ± 0.015,0.041 ± 0.003,26.543 ± 0.36,40.691 ± 0.874,0.072 ± 0.003
torch-GREA,graph,0.459 ± 0.024,0.468 ± 0.024,0.659 ± 0.093,0.017 ± 0.001,0.5 ± 0.039,0.634 ± 0.046,0.468 ± 0.023,0.079 ± 0.021,27.931 ± 0.769,45.245 ± 2.252,0.238 ± 0.087
