model,fp,Bulk_modulus_GPa,CH4_msa_log10,CO2_msa_log10,FFV,H2_msa_log10,N2_msa_log10,O2_msa_log10,TC,Tg,Tm,density
DropoutMLP,AtomPair,-1.017 ± 0.187,0.82 ± 0.025,0.71 ± 0.02,0.772 ± 0.007,0.833 ± 0.011,0.853 ± 0.01,0.736 ± 0.012,0.587 ± 0.037,0.868 ± 0.002,0.705 ± 0.006,0.666 ± 0.019
DropoutMLP,MACCS,0.323 ± 0.062,0.815 ± 0.012,0.719 ± 0.016,0.773 ± 0.023,0.86 ± 0.034,0.824 ± 0.023,0.687 ± 0.035,0.523 ± 0.063,0.854 ± 0.005,0.687 ± 0.016,0.647 ± 0.043
DropoutMLP,Morgan,-0.306 ± 0.109,0.831 ± 0.013,0.708 ± 0.029,0.738 ± 0.009,0.842 ± 0.015,0.866 ± 0.022,0.695 ± 0.011,0.581 ± 0.118,0.872 ± 0.007,0.726 ± 0.012,0.656 ± 0.021
DropoutMLP,RDKit,-1.094 ± 0.069,0.801 ± 0.019,0.628 ± 0.022,0.714 ± 0.012,0.736 ± 0.049,0.826 ± 0.007,0.712 ± 0.04,0.478 ± 0.09,0.872 ± 0.003,0.692 ± 0.011,0.559 ± 0.053
DropoutMLP,TopologicalTorsion,-0.5 ± 0.072,0.822 ± 0.029,0.655 ± 0.024,0.716 ± 0.012,0.789 ± 0.033,0.828 ± 0.021,0.661 ± 0.031,0.559 ± 0.151,0.866 ± 0.005,0.694 ± 0.009,0.513 ± 0.072
QuantileRandomForest,AtomPair,0.5 ± 0.042,0.82 ± 0.01,0.624 ± 0.007,0.698 ± 0.007,0.794 ± 0.009,0.848 ± 0.01,0.683 ± 0.011,0.676 ± 0.011,0.871 ± 0.002,0.696 ± 0.008,0.598 ± 0.016
QuantileRandomForest,MACCS,0.411 ± 0.035,0.707 ± 0.026,0.648 ± 0.011,0.715 ± 0.002,0.854 ± 0.011,0.757 ± 0.017,0.646 ± 0.009,0.621 ± 0.023,0.864 ± 0.005,0.7 ± 0.006,0.73 ± 0.009
QuantileRandomForest,Morgan,0.472 ± 0.025,0.805 ± 0.01,0.68 ± 0.029,0.721 ± 0.004,0.852 ± 0.005,0.821 ± 0.005,0.718 ± 0.032,0.603 ± 0.013,0.881 ± 0.004,0.709 ± 0.006,0.691 ± 0.017
QuantileRandomForest,RDKit,0.444 ± 0.068,0.808 ± 0.022,0.578 ± 0.005,0.712 ± 0.004,0.821 ± 0.009,0.83 ± 0.01,0.668 ± 0.028,0.663 ± 0.011,0.881 ± 0.001,0.715 ± 0.007,0.61 ± 0.016
QuantileRandomForest,TopologicalTorsion,0.447 ± 0.025,0.831 ± 0.012,0.533 ± 0.032,0.688 ± 0.003,0.79 ± 0.009,0.851 ± 0.01,0.578 ± 0.015,0.561 ± 0.21,0.87 ± 0.003,0.681 ± 0.007,0.242 ± 0.028
torch-GNN,graph,0.049 ± 0.081,0.855 ± 0.013,0.668 ± 0.017,0.257 ± 0.108,0.744 ± 0.123,0.862 ± 0.016,0.725 ± 0.026,0.55 ± 0.056,0.88 ± 0.004,0.749 ± 0.009,0.657 ± 0.036
torch-GREA,graph,0.251 ± 0.086,0.811 ± 0.023,0.325 ± 0.125,0.321 ± 0.048,0.669 ± 0.046,0.667 ± 0.045,0.638 ± 0.027,-0.289 ± 0.6,0.868 ± 0.005,0.664 ± 0.072,-1.476 ± 1.66
