model,fp,Bulk_modulus_GPa,CH4_msa_log10,CO2_msa_log10,FFV,H2_msa_log10,N2_msa_log10,O2_msa_log10,TC,Tg,Tm,density
DropoutMLP,AtomPair,1.067 ± 0.049,0.594 ± 0.041,0.681 ± 0.023,0.014 ± 0.0,0.473 ± 0.015,0.543 ± 0.019,0.676 ± 0.015,0.057 ± 0.003,40.525 ± 0.376,61.277 ± 0.59,0.112 ± 0.003
DropoutMLP,MACCS,0.618 ± 0.029,0.604 ± 0.019,0.671 ± 0.019,0.014 ± 0.001,0.431 ± 0.051,0.594 ± 0.038,0.735 ± 0.041,0.061 ± 0.004,42.621 ± 0.782,63.054 ± 1.59,0.115 ± 0.007
DropoutMLP,Morgan,0.859 ± 0.036,0.576 ± 0.023,0.683 ± 0.033,0.015 ± 0.0,0.46 ± 0.022,0.516 ± 0.043,0.727 ± 0.013,0.057 ± 0.008,39.784 ± 1.08,59.023 ± 1.281,0.113 ± 0.003
DropoutMLP,RDKit,1.088 ± 0.018,0.625 ± 0.029,0.772 ± 0.022,0.016 ± 0.0,0.593 ± 0.054,0.591 ± 0.012,0.705 ± 0.047,0.064 ± 0.006,39.919 ± 0.448,62.602 ± 1.148,0.128 ± 0.008
DropoutMLP,TopologicalTorsion,0.921 ± 0.022,0.591 ± 0.048,0.743 ± 0.025,0.016 ± 0.0,0.532 ± 0.04,0.586 ± 0.036,0.765 ± 0.035,0.058 ± 0.01,40.794 ± 0.832,62.394 ± 0.917,0.135 ± 0.01
QuantileRandomForest,AtomPair,0.532 ± 0.022,0.595 ± 0.017,0.776 ± 0.007,0.016 ± 0.0,0.526 ± 0.012,0.551 ± 0.018,0.741 ± 0.013,0.05 ± 0.001,40.027 ± 0.361,62.165 ± 0.869,0.123 ± 0.002
QuantileRandomForest,MACCS,0.577 ± 0.017,0.759 ± 0.034,0.751 ± 0.012,0.016 ± 0.0,0.442 ± 0.017,0.697 ± 0.025,0.782 ± 0.01,0.054 ± 0.002,41.021 ± 0.71,61.819 ± 0.6,0.1 ± 0.002
QuantileRandomForest,Morgan,0.546 ± 0.013,0.619 ± 0.017,0.716 ± 0.032,0.016 ± 0.0,0.446 ± 0.007,0.599 ± 0.008,0.698 ± 0.038,0.056 ± 0.001,38.441 ± 0.618,60.853 ± 0.665,0.107 ± 0.003
QuantileRandomForest,RDKit,0.56 ± 0.034,0.614 ± 0.034,0.822 ± 0.005,0.016 ± 0.0,0.49 ± 0.012,0.584 ± 0.017,0.758 ± 0.032,0.051 ± 0.001,38.511 ± 0.202,60.268 ± 0.735,0.121 ± 0.002
QuantileRandomForest,TopologicalTorsion,0.559 ± 0.013,0.577 ± 0.021,0.865 ± 0.029,0.017 ± 0.0,0.53 ± 0.011,0.546 ± 0.019,0.855 ± 0.015,0.057 ± 0.012,40.189 ± 0.539,63.723 ± 0.733,0.168 ± 0.003
torch-GNN,graph,0.733 ± 0.031,0.535 ± 0.023,0.73 ± 0.019,0.026 ± 0.002,0.574 ± 0.132,0.524 ± 0.029,0.69 ± 0.032,0.059 ± 0.004,38.599 ± 0.655,56.477 ± 0.997,0.113 ± 0.006
torch-GREA,graph,0.65 ± 0.036,0.609 ± 0.037,1.037 ± 0.097,0.025 ± 0.001,0.665 ± 0.047,0.815 ± 0.056,0.791 ± 0.029,0.098 ± 0.021,40.416 ± 0.711,65.105 ± 6.667,0.29 ± 0.102
