model,fp,Bulk_modulus_GPa,CH4_msa_log10,CO2_msa_log10,FFV,H2_msa_log10,N2_msa_log10,O2_msa_log10,TC,Tg,Tm,density
DropoutMLP,AtomPair,-0.277 ± 0.068,0.011 ± 0.113,0.012 ± 0.072,0.264 ± 0.017,0.189 ± 0.033,0.091 ± 0.096,0.263 ± 0.066,0.167 ± 0.042,0.075 ± 0.025,0.192 ± 0.034,0.1 ± 0.047
DropoutMLP,MACCS,-0.461 ± 0.069,0.069 ± 0.041,0.247 ± 0.028,0.237 ± 0.015,0.209 ± 0.099,0.084 ± 0.094,0.046 ± 0.124,0.308 ± 0.066,0.175 ± 0.016,0.195 ± 0.032,0.199 ± 0.071
DropoutMLP,Morgan,-0.331 ± 0.158,0.171 ± 0.115,0.049 ± 0.075,0.249 ± 0.052,0.034 ± 0.083,0.281 ± 0.121,0.039 ± 0.051,0.317 ± 0.114,0.052 ± 0.018,0.206 ± 0.034,0.11 ± 0.039
DropoutMLP,RDKit,-0.387 ± 0.134,-0.057 ± 0.086,-0.036 ± 0.011,0.188 ± 0.03,0.206 ± 0.107,0.09 ± 0.05,0.05 ± 0.071,0.263 ± 0.132,0.131 ± 0.018,0.164 ± 0.041,0.095 ± 0.043
DropoutMLP,TopologicalTorsion,-0.465 ± 0.171,0.136 ± 0.088,0.066 ± 0.107,0.3 ± 0.015,0.112 ± 0.148,0.1 ± 0.056,0.235 ± 0.107,0.198 ± 0.18,0.167 ± 0.037,0.236 ± 0.028,0.094 ± 0.037
QuantileRandomForest,AtomPair,0.646 ± 0.036,0.313 ± 0.053,0.399 ± 0.018,0.405 ± 0.013,0.452 ± 0.044,0.382 ± 0.031,0.415 ± 0.014,0.316 ± 0.043,0.377 ± 0.005,0.473 ± 0.025,0.409 ± 0.032
QuantileRandomForest,MACCS,0.565 ± 0.141,0.297 ± 0.043,0.303 ± 0.024,0.323 ± 0.012,0.343 ± 0.039,0.346 ± 0.029,0.284 ± 0.033,0.306 ± 0.015,0.283 ± 0.011,0.378 ± 0.024,0.366 ± 0.015
QuantileRandomForest,Morgan,0.505 ± 0.117,0.361 ± 0.057,0.447 ± 0.035,0.391 ± 0.006,0.456 ± 0.029,0.395 ± 0.008,0.403 ± 0.038,0.404 ± 0.021,0.334 ± 0.01,0.398 ± 0.009,0.394 ± 0.05
QuantileRandomForest,RDKit,0.65 ± 0.073,0.16 ± 0.054,0.399 ± 0.036,0.416 ± 0.014,0.292 ± 0.034,0.298 ± 0.059,0.389 ± 0.015,0.333 ± 0.025,0.374 ± 0.012,0.432 ± 0.013,0.362 ± 0.022
QuantileRandomForest,TopologicalTorsion,0.457 ± 0.05,0.351 ± 0.049,0.303 ± 0.017,0.417 ± 0.005,0.397 ± 0.028,0.38 ± 0.034,0.455 ± 0.027,0.285 ± 0.029,0.384 ± 0.021,0.451 ± 0.019,0.518 ± 0.032
torch-GREA,graph,-0.085 ± 0.201,0.111 ± 0.049,0.064 ± 0.18,-0.188 ± 0.062,0.149 ± 0.109,0.251 ± 0.088,0.251 ± 0.069,-0.034 ± 0.074,-0.004 ± 0.035,0.013 ± 0.108,0.239 ± 0.358
