PID,CID1,CID2,Type,SMILES_CID1,SMILES_CID2,SMILES,Polymer Class
P373755,101960565,0,Polycondensation,CCCCCC1=CC2=C(C3=CC=CC=C3C(=C2C=C1)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,Clc1ccc2c(c1)C(c1ccc(N(c3ccccc3)c3ccccc3)cc1)(c1ccc(N(c3ccccc3)c3ccccc3)cc1)c1cc(Cl)ccc1-2,*Oc1ccc2c(c1)C(c1ccc(N(c3ccccc3)c3ccccc3)cc1)(c1ccc(N(c3ccccc3)c3ccccc3)cc1)c1cc(Oc3ccc(-c4c5ccccc5c(-c5ccc(*)cc5)c5ccc(CCCCC)cc45)cc3)ccc1-2,Polyoxides/ethers/acetals
P392705,14474483,0,Polycondensation,C(CCC(=O)Cl)CC(=O)O,Oc1ccc(cc1)C(=C\c1ccc(cc1)-c1ccc(\C=C(/c2ccccc2)c2ccc(O)cc2)cc1)\c1ccccc1,*Oc1ccc(/C(=C/c2ccc(-c3ccc(/C=C(\c4ccccc4)c4ccc(OC(=O)CCCCC(*)=O)cc4)cc3)cc2)c2ccccc2)cc1,Polyesters/thioesters
P433510,75498,0,Polycondensation,C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccccc4N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,"Polyimides/thioimides, Polyoxides/ethers/acetals, Polyketones/thioketones"
P392501,174,169132,Polyaddition,C(CO)O,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,*CCOC(=O)NCC1(C)CC(NC(=O)O*)CC(C)(C)C1,Polyurethanes/thiourethanes
P370295,174,948356,Polycondensation,C(CO)O,COC1=CC2=C(C=C1)N=C(C=C2Cl)Cl,*OCCOc1cc(*)nc2ccc(OC)cc12,"Polyoxides/ethers/acetals, Polyimines"
P110137,174,61009,Polyaddition,C(CO)O,C1=CC(=CC=C1N=C=O)N=C=O,*CCOC(=O)Nc1ccc(NC(=O)O*)cc1,Polyurethanes/thiourethanes
P110085,174,7570,Polyaddition,C(CO)O,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,*CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,Polyurethanes/thiourethanes
P110138,174,31262,Polyaddition,C(CO)O,C1=CC(=CC(=C1)N=C=O)N=C=O,*CCOC(=O)Nc1cccc(NC(=O)O*)c1,Polyurethanes/thiourethanes
P373078,174,101431758,Polycondensation,C(CO)O,C1CCN(CC1)C2=NC(=NC(=N2)OC3=C(C=CC4=CC=CC=C43)C(=O)Cl)OC5=C(C=CC6=CC=CC=C65)C(=O)Cl,*Oc1c(C(=O)OCCOC(=O)c2ccc3ccccc3c2Oc2nc(*)nc(N3CCCCC3)n2)ccc2ccccc12,"Polyoxides/ethers/acetals, Polyesters/thioesters, Polyimines"
P070451,174,61332,Polyaddition,C(CO)O,C1=CC(=CC=C1N=C=O)OC2=CC=C(C=C2)N=C=O,*Oc1ccc(NC(=O)OCCOC(=O)Nc2ccc(*)cc2)cc1,"Polyoxides/ethers/acetals, Polyurethanes/thiourethanes"
P110004,174,13192,Polyaddition,C(CO)O,C(CCCN=C=O)CCN=C=O,*CCOC(=O)NCCCCCCNC(=O)O*,Polyurethanes/thiourethanes
P110004,16402,31282,Polycondensation,C(CCCN)CCN,C(COC(=O)Cl)OC(=O)Cl,*CCOC(=O)NCCCCCCNC(=O)O*,Polyurethanes/thiourethanes
P390292,174,11004750,Polycondensation,C(CO)O,C1=CC(=CC=C1C(=O)OC2=CC=C(C=C2)C(=O)Cl)C(=O)OC3=CC=C(C=C3)C(=O)Cl,*Oc1ccc(C(=O)OCCOC(=O)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,Polyesters/thioesters
P110198,174,11948447,Polyaddition,C(CO)O,C1=CC(=CC=C1N=C=O)S(=O)(=O)C2=CC=C(C=C2)N=C=O,*CCOC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)O*)cc2)cc1,"Polyurethanes/thiourethanes, Polysulfones/sulfoxides/sufonates/sulfoamides"
P070002,177,0,Addition_polymerization,CC=O,,*OC(*)C,Polyoxides/ethers/acetals
P070005,180,0,Addition_polymerization,CC(=O)C,,*OC(*)(C)C,Polyoxides/ethers/acetals
P392070,196,15840539,Polycondensation/Polymer_reaction,C(CCC(=O)O)CC(=O)O,CCCCCCCCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCCCCCCCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P140001,196,0,Polycondensation,C(CCC(=O)O)CC(=O)O,,*OC(=O)CCCCC(*)=O,Polyanhydrides/thioanhydrides
P140001,567658,0,Ring_opening_polymerization,C1CCC(=O)OC(=O)C1,,*OC(=O)CCCCC(*)=O,Polyanhydrides/thioanhydrides
P392128,196,11857627,Polycondensation,C(CCC(=O)O)CC(=O)O,COC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P090009,196,174,Polycondensation,C(CCC(=O)O)CC(=O)O,C(CO)O,*CCOC(=O)CCCCC(=O)O*,Polyesters/thioesters
P090009,8128,174,Polyaddition/Polymer_reaction,C(CCC#N)CC#N,C(CO)O,*CCOC(=O)CCCCC(=O)O*,Polyesters/thioesters
P090009,12329,174,Polycondensation,COC(=O)CCCCC(=O)OC,C(CO)O,*CCOC(=O)CCCCC(=O)O*,Polyesters/thioesters
P100044,196,101059190,Polycondensation,C(CCC(=O)O)CC(=O)O,CP(=O)(CCCCN)CCCN,*CCCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,Polyamides/thioamides
P090084,196,11506,Polycondensation,C(CCC(=O)O)CC(=O)O,C1=CC(=CC=C1CO)CO,*Cc1ccc(COC(=O)CCCCC(=O)O*)cc1,Polyesters/thioesters
P090084,8128,11506,Polyaddition/Polymer_reaction,C(CCC#N)CC#N,C1=CC(=CC=C1CO)CO,*Cc1ccc(COC(=O)CCCCC(=O)O*)cc1,Polyesters/thioesters
P373417,196,172052524,Polycondensation,C(CCC(=O)O)CC(=O)O,C1C(C2C(O1)C(CO2)OC3=CC=C(C=C3)N)OC4=CC=C(C=C4)N,*Oc1ccc(NC(=O)CCCCC(=O)Nc2ccc(OC3COC4C(*)COC34)cc2)cc1,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P090052,196,8105,Polycondensation,C(CCC(=O)O)CC(=O)O,C(CCO)CCO,*CCCCCOC(=O)CCCCC(=O)O*,Polyesters/thioesters
P090052,12329,8105,Polycondensation,COC(=O)CCCCC(=O)OC,C(CCO)CCO,*CCCCCOC(=O)CCCCC(=O)O*,Polyesters/thioesters
P100045,196,54063852,Polycondensation,C(CCC(=O)O)CC(=O)O,CP(=O)(CCCN)CCCN,*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,Polyamides/thioamides
P392229,196,101353356,Polycondensation,C(CCC(=O)O)CC(=O)O,CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)Cc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P392216,196,68931444,Polycondensation,C(CCC(=O)O)CC(=O)O,C1=CC=C(C=C1)COC(=O)C(CC2=CC=C(C=C2)O)NC(=O)CCC3=CC=C(C=C3)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCc2ccccc2)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P460033,196,9321,Polycondensation/Polymer_reaction,C(CCC(=O)O)CC(=O)O,NN,*CCCCc1nnc(*)n1N,Polyimines
P392230,196,101353361,Polycondensation,C(CCC(=O)O)CC(=O)O,CCCCCCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)Cc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCCCCCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P070332,196,8117,Polycondensation,C(CCC(=O)O)CC(=O)O,C(COCCO)O,*CCOCCOC(=O)CCCCC(=O)O*,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070332,12329,8117,Polycondensation,COC(=O)CCCCC(=O)OC,C(COCCO)O,*CCOCCOC(=O)CCCCC(=O)O*,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P392069,196,20657049,Polycondensation/Polymer_reaction,C(CCC(=O)O)CC(=O)O,CCCCCCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCCCCCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P392068,196,4686397,Polycondensation/Polymer_reaction,C(CCC(=O)O)CC(=O)O,CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P370296,262,948356,Polycondensation,CC(C(C)O)O,COC1=CC2=C(C=C1)N=C(C=C2Cl)Cl,*OC(C)C(C)Oc1cc(*)nc2ccc(OC)cc12,"Polyoxides/ethers/acetals, Polyimines"
P432415,273,67191,Polycondensation,C(CCN)CCN,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)OC7=O)C(=O)OC2=O,*CCCCCn1c(=O)c2ccc3c4ccc5c(=O)n(*)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,Polyimides/thioimides
P500030,273,96240,Polycondensation,C(CCN)CCN,C1=CC(=CC(=C1)S(=O)(=O)Cl)S(=O)(=O)Cl,*c1cccc(S(=O)(=O)NCCCCCNS(*)(=O)=O)c1,Polysulfones/sulfoxides/sufonates/sulfoamides
P100205,273,385,Polycondensation,C(CCN)CCN,C(CCC(=O)O)CCC(=O)O,*CCCCCNC(=O)CCCCCC(=O)N*,Polyamides/thioamides
P100203,273,867,Polycondensation,C(CCN)CCN,C(C(=O)O)C(=O)O,*CCCCCNC(=O)CC(=O)N*,Polyamides/thioamides
P100003,273,196,Polycondensation,C(CCN)CCN,C(CCC(=O)O)CC(=O)O,*CCCCCNC(=O)CCCCC(=O)N*,Polyamides/thioamides
P100003,273,14474483,Polycondensation,C(CCN)CCN,C(CCC(=O)Cl)CC(=O)O,*CCCCCNC(=O)CCCCC(=O)N*,Polyamides/thioamides
P100758,273,10458,Polycondensation,C(CCN)CCN,C(CCCCCC(=O)O)CCCCCC(=O)O,*CCCCCNC(=O)CCCCCCCCCCCC(=O)N*,Polyamides/thioamides
P512143,289,0,Polycondensation,C1=CC=C(C(=C1)O)O,,*c1cc(O)c(O)cc1*,Polyphenylenes
P090237,385,37153,Polycondensation,C(CCC(=O)O)CCC(=O)O,C(CCCCCO)CCCCO,*CCCCCCCCCCOC(=O)CCCCCC(=O)O*,Polyesters/thioesters
P090100,385,8105,Polycondensation,C(CCC(=O)O)CCC(=O)O,C(CCO)CCO,*CCCCCOC(=O)CCCCCC(=O)O*,Polyesters/thioesters
P090100,74416,8105,Polycondensation,COC(=O)CCCCCC(=O)OC,C(CCO)CCO,*CCCCCOC(=O)CCCCCC(=O)O*,Polyesters/thioesters
P090012,385,10442,Polycondensation,C(CCC(=O)O)CCC(=O)O,C(CO)CO,*CCCOC(=O)CCCCCC(=O)O*,Polyesters/thioesters
P090599,385,1030,Polycondensation,C(CCC(=O)O)CCC(=O)O,CC(CO)O,*OC(C)COC(=O)CCCCCC(*)=O,Polyesters/thioesters
P373458,428,0,Polycondensation,C(CN)CN,,*Oc1ccc(C(=O)CNCCCNCC(=O)c2ccc(*)cc2)cc1,"Polyoxides/ethers/acetals, Polyimines, Polyketones/thioketones"
P100282,428,7488,Polycondensation,C(CN)CN,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,*CCCNC(=O)c1ccc(C(=O)N*)cc1,Polyamides/thioamides
P402254,428,75502,Polycondensation,C(CN)CN,C(CCCCCCCCCC(=O)O)CCCCCCCCC(=O)O,*CCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,Polyamides/thioamides
P090175,441,0,Polycondensation,CC(CC(=O)O)O,,*OC(C)CC(*)=O,Polyesters/thioesters
P090175,18303,0,Ring_opening_polymerization,CC1CC(=O)O1,,*OC(C)CC(*)=O,Polyesters/thioesters
P090175,20708462,0,Ring_opening_polymerization,CC1CC(=O)OC(CC(=O)OC(CC(=O)O1)C)C,,*OC(C)CC(*)=O,Polyesters/thioesters
P370053,454,0,Addition_polymerization,CCCCCCCC=O,,*OC(*)CCCCCCC,Polyoxides/ethers/acetals
P070487,568,8484,Polycondensation,C1=CC=C2C(=C1)C3=CC=CC=C3O2,C1=CC(=CC=C1OC2=CC=C(C=C2)S(=O)(=O)Cl)S(=O)(=O)Cl,*c1ccc2oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(S(*)(=O)=O)cc5)cc4)cc3c2c1,"Polyoxides/ethers/acetals, Polysulfones/sulfoxides/sufonates/sulfoamides"
P430371,712,102403035,Polycondensation,C=O,C1=CC(=CC=C1N2C(=O)C3=C(C2=O)C=C(C=C3)C(C4=CC5=C(C=C4)C(=O)N(C5=O)C6=CC=C(C=C6)I)(C(F)(F)F)C(F)(F)F)I,*c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,"Polyimides/thioimides, Polyoxides/ethers/acetals, Polyamides/thioamides"
P430371,7579,100974156,Polycondensation,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,C1=CC(=CC=C1C(=O)O)N2C(=O)C3=C(C2=O)C=C(C=C3)C(C4=CC5=C(C=C4)C(=O)N(C5=O)C6=CC=C(C=C6)C(=O)O)(C(F)(F)F)C(F)(F)F,*c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,"Polyimides/thioimides, Polyoxides/ethers/acetals, Polyamides/thioamides"
P460145,712,69080,Polycondensation,C=O,C1=CC=C(C=C1)CN(C2=CC=CC=C2)C3=CC=CC=C3,*c1ccc(Cc2ccc(N(*)Cc3ccccc3)cc2)cc1,Polyimines
P332291,712,7967,Polycondensation,C=O,C1CCC(=O)CC1,*CC1CCCC(*)(CO)C1=O,"Polyvinyls, Polyketones/thioketones"
P090437,743,8064,Polycondensation,C(CC(=O)O)CC(=O)O,C(CCO)CO,*CCCCOC(=O)CCCC(=O)O*,Polyesters/thioesters
P090437,13163,8064,Polycondensation,CCOC(=O)CCCC(=O)OCC,C(CCO)CO,*CCCCOC(=O)CCCC(=O)O*,Polyesters/thioesters
P090437,14242,8064,Polycondensation,COC(=O)CCCC(=O)OC,C(CCO)CO,*CCCCOC(=O)CCCC(=O)O*,Polyesters/thioesters
P090488,743,11506,Polycondensation,C(CC(=O)O)CC(=O)O,C1=CC(=CC=C1CO)CO,*Cc1ccc(COC(=O)CCCC(=O)O*)cc1,Polyesters/thioesters
P392125,743,20657049,Polycondensation,C(CC(=O)O)CC(=O)O,CCCCCCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCCCCCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P390083,743,7896,Polycondensation,C(CC(=O)O)CC(=O)O,CC(CCO)O,*OC(C)CCOC(=O)CCCC(*)=O,Polyesters/thioesters
P390083,13163,7896,Polycondensation,CCOC(=O)CCCC(=O)OCC,CC(CCO)O,*OC(C)CCOC(=O)CCCC(*)=O,Polyesters/thioesters
P390083,14242,7896,Polycondensation,COC(=O)CCCC(=O)OC,CC(CCO)O,*OC(C)CCOC(=O)CCCC(*)=O,Polyesters/thioesters
P392123,743,4686397,Polycondensation,C(CC(=O)O)CC(=O)O,CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CCC2=CC=C(C=C2)O,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,"Polyesters/thioesters, Polyamides/thioamides"
P094308,785,5989690,Polycondensation,C1=CC(=CC=C1O)O,C1=CC(=CC=C1C=CC(=O)Cl)C=CC(=O)Cl,*Oc1ccc(OC(=O)/C=C/c2ccc(/C=C/C(*)=O)cc2)cc1,Polyesters/thioesters
P392088,785,85753295,Polycondensation,C1=CC(=CC=C1O)O,C1=CC(=NC(=C1)C(=O)OC2=CC=C(C=C2)C(=O)Cl)C(=O)OC3=CC=C(C=C3)C(=O)Cl,*C(=O)Oc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(OC(=O)c4cccc(*)n4)cc3)cc2)cc1,"Polyesters/thioesters, Polyimines"
P370460,785,102272745,Polycondensation,C1=CC(=CC=C1O)O,C1=CC(=CC=C1C2=C(C(=C(C(=C2C3=CC=C(C=C3)F)C(=O)C4=CC=C(C=C4)F)C(=O)C5=CC=C(C=C5)F)C6=CC=C(C=C6)F)C7=CC=C(C=C7)F)F,*Oc1ccc(Oc2ccc(C(=O)c3c(C(=O)c4ccc(*)cc4)c(-c4ccc(F)cc4)c(-c4ccc(F)cc4)c(-c4ccc(F)cc4)c3-c3ccc(F)cc3)cc2)cc1,"Polyoxides/ethers/acetals, Polyketones/thioketones"
P430168,785,102076477,Polycondensation,C1=CC(=CC=C1O)O,C1=CC(=CC=C1C(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C4=CC=C(C=C4)N5C(=O)C6=C(C5=O)C=C(C=C6)C(=O)C7=CC=C(C=C7)F)F,*C(=O)c1ccc(Oc2ccc(Oc3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc(*)cc7C6=O)cc4)C5=O)cc3)cc2)cc1,"Polyimides/thioimides, Polyoxides/ethers/acetals, Polyketones/thioketones"
P170035,785,12451965,Polycondensation,C1=CC(=CC=C1O)O,CCN(CC)[Si](C)(C1=CC=CC=C1)N(CC)CC,*O[Si](C)(Oc1ccc(*)cc1)c1ccccc1,"Polyoxides/ethers/acetals, Polysiloxanes/silanes"
P373245,785,0,Polycondensation,C1=CC(=CC=C1O)O,,*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)c(S(=O)(=O)O)c3)cc2S(=O)(=O)O)cc1,"Polyoxides/ethers/acetals, Polyketones/thioketones"
P373324,785,129839026,Polycondensation,C1=CC(=CC=C1O)O,CCN(C1=CC=CC=C1)C2=NC(=NC(=N2)OC3=CC=CC=C3C(=O)Cl)OC4=CC=CC=C4C(=O)Cl,*Oc1ccccc1C(=O)Oc1ccc(OC(=O)c2ccccc2Oc2nc(*)nc(N(CC)c3ccccc3)n2)cc1,"Polyoxides/ethers/acetals, Polyesters/thioesters, Polyimines"
P373120,785,20283557,Polycondensation,C1=CC(=CC=C1O)O,C1CCC(CC1)OP(=O)(Cl)Cl,*OP(=O)(Oc1ccc(*)cc1)OC1CCCCC1,Polyoxides/ethers/acetals
P460177,798,0,Polycondensation,C1=CC=C2C(=C1)C=CN2,,*C1=NC2=CC(*)C=CC2=C1,Polyimines
P390119,867,11506,Polycondensation,C(C(=O)O)C(=O)O,C1=CC(=CC=C1CO)CO,*Cc1ccc(COC(=O)CC(=O)O*)cc1,Polyesters/thioesters
P090623,971,11506,Polycondensation,C(=O)(C(=O)O)O,C1=CC(=CC=C1CO)CO,*Cc1ccc(COC(=O)C(=O)O*)cc1,Polyesters/thioesters
P090440,971,8064,Polycondensation,C(=O)(C(=O)O)O,C(CCO)CO,*CCCCOC(=O)C(=O)O*,Polyesters/thioesters
P090440,7268,8064,Polycondensation,CCOC(=O)C(=O)OCC,C(CCO)CO,*CCCCOC(=O)C(=O)O*,Polyesters/thioesters
P100700,971,77699,Polycondensation,C(=O)(C(=O)O)O,C(CCCC(=O)NN)CCCC(=O)NN,*NNC(=O)C(=O)NNC(=O)CCCCCCCC(*)=O,Polyamides/thioamides
P090472,971,31344,Polycondensation,C(=O)(C(=O)O)O,CC(C)(CO)CO,*CC(C)(C)COC(=O)C(=O)O*,Polyesters/thioesters
P462302,995,15702182,Polycondensation,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,CCCCC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,*c1ccc(-c2cc3c(ccc4ccccc43)cc2-c2ccc(N(*)c3ccc(C)cc3)cc2)cc1,Polyimines
P510075,996,116800,Polycondensation,C1=CC=C(C=C1)O,CCCCCCCCCCCCCCC1=CC=C(C=C1)O,*c1cccc(-c2cc(CCCCCCCCCCCCCC)cc(*)c2O)c1O,Polyphenylenes
P370406,1017,19007794,Polycondensation,C1=CC=C(C(=C1)C(=O)O)C(=O)O,C1=CC2=C(C=C(C=C2)OC3=CC=C(C=C3)N)C(=C1)OC4=CC=C(C=C4)N,*Oc1cccc2ccc(Oc3ccc(NC(=O)c4cccc(C(=O)Nc5ccc(*)cc5)c4)cc3)cc12,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P090605,1030,12405380,Polycondensation,CC(CO)O,C(CCS(=O)(=O)CCCCC(=O)O)CC(=O)O,*OC(C)COC(=O)CCCCS(=O)(=O)CCCCC(*)=O,"Polyesters/thioesters, Polysulfones/sulfoxides/sufonates/sulfoamides"
